trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-188.78606069271152,"{0: 14, 1: 0, 2: 8, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-163.3593962842299,"{0: 17, 1: 6, 2: 3, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-85.10460053008022,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-64.60032014777227,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-206.10259368767228,"{0: 12, 1: 3, 2: 3, 3: 5, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-17.653139864759982,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-75.0699048379213,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",35,7,-139.0004110304778,"{0: 18, 1: 2, 2: 5, 3: 1, 4: 2}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-186.77270704371543,"{0: 19, 1: 3, 2: 3, 3: 2, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,15,-30.87574057410535,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-138.5942279766587,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 4}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-13.746475242554489,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,4,-65.81570586647459,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 2}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-62.297928274995556,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,12,2.0946196035509894,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-131.6904495939734,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,8,-7.220424652218663,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,8,-13.550028495983016,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",35,4,-157.02558747890376,"{0: 23, 1: 1, 2: 1, 3: 3, 4: 3}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-36.35682866432599,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,12,10.25431448085473,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,11,16.97342735801848,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-104.0079238727457,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 3}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,21.36614757935867,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,16,7.224184934545759,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,14,9.465289550461444,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,9,10.98661653794604,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,6,-71.82001765442443,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 2}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,0,-52.13139851671351,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,12,12.490991816571881,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
