trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.997}",25,0,-111.99513250487394,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.994009}",30,0,-94.55597199741958,"{0: 18, 1: 5, 2: 6, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.991026973}",30,0,-168.7512331893152,"{0: 17, 1: 0, 2: 11, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.988053892081}",25,0,-132.29963937266456,"{0: 14, 1: 1, 2: 7, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.985089730404757}",20,0,-29.71903957566565,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9821344612135428}",20,0,-128.3620072887063,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9791880578299021}",25,3,-81.41420827312152,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.9762504936564125}",20,0,-246.06025117014497,"{0: 9, 1: 1, 2: 5, 3: 0, 4: 5}",0
9,False,"{'a': 0.5, 'e': 0.9733217421754432}",30,0,-188.89495118330257,"{0: 14, 1: 4, 2: 9, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9704017769489168}",20,0,-218.03477690218935,"{0: 8, 1: 3, 2: 5, 3: 0, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.9674905716180701}",30,0,-220.9819118053753,"{0: 16, 1: 2, 2: 7, 3: 2, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.9645880999032158}",25,0,-41.57740422082893,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9616943356035061}",30,0,-107.90253659765578,"{0: 18, 1: 4, 2: 6, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.9588092525966956}",30,0,-87.58780297893112,"{0: 20, 1: 3, 2: 5, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.9559328248389055}",30,0,-194.15749960106518,"{0: 16, 1: 7, 2: 2, 3: 2, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.9530650263643888}",25,0,-110.20912500965332,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9502058312852957}",30,0,-187.7826282755488,"{0: 15, 1: 3, 2: 7, 3: 4, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9473552137914398}",30,0,-146.24166145035622,"{0: 18, 1: 4, 2: 3, 3: 4, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9445131481500655}",25,11,-10.125716739158623,"{0: 10, 1: 3, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.9416796087056153}",25,0,-130.4796242215969,"{0: 13, 1: 5, 2: 4, 3: 2, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.9388545698794984}",30,0,-130.61958186892312,"{0: 17, 1: 4, 2: 7, 3: 1, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.93603800616986}",25,0,-128.20874930677485,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.9332298921513504}",20,0,-125.38313809263143,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.9304302024748964}",35,0,-184.58248057604968,"{0: 17, 1: 7, 2: 9, 3: 0, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.9276389118674717}",20,0,-115.16544750399325,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.9248559951318693}",20,0,-94.04039353840626,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.9220814271464737}",30,0,-137.90124498605314,"{0: 17, 1: 7, 2: 2, 3: 3, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.9193151828650342}",20,0,-192.50201341167553,"{0: 9, 1: 3, 2: 3, 3: 2, 4: 3}",0
29,False,"{'a': 0.5, 'e': 0.9165572373164391}",20,0,-95.27789676924837,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.9138075656044898}",20,0,-89.00566798903523,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.9110661429076764}",25,0,-64.60994538249777,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.9083329444789534}",25,13,-37.749943733563505,"{0: 9, 1: 1, 2: 0, 3: 2, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.9056079456455165}",20,0,-54.49255470116732,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.90289112180858}",25,0,-171.24742438566014,"{0: 13, 1: 1, 2: 8, 3: 1, 4: 2}",0
35,False,"{'a': 0.5, 'e': 0.9001824484431542}",20,0,-81.1637616013335,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.8974819010978248}",30,0,-53.680227906432165,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.8947894553945313}",25,0,-162.16676610960943,"{0: 13, 1: 4, 2: 4, 3: 2, 4: 2}",0
38,False,"{'a': 0.5, 'e': 0.8921050870283477}",20,0,-67.03245677392653,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.8894287717672626}",20,11,2.6096093201388637,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.8867604854519608}",25,0,-160.09512230140152,"{0: 15, 1: 3, 2: 2, 3: 3, 4: 2}",0
41,False,"{'a': 0.5, 'e': 0.884100203995605}",20,9,-66.52636228296856,"{0: 6, 1: 3, 2: 0, 3: 1, 4: 1}",1
42,False,"{'a': 0.5, 'e': 0.8814479033836181}",30,20,-58.79019607659193,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 1}",1
