trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-91.12635928725382,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-94.89930994395111,"{0: 14, 1: 4, 2: 5, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-139.76765142344098,"{0: 17, 1: 3, 2: 8, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,7,-127.90571566115244,"{0: 9, 1: 1, 2: 6, 3: 0, 4: 2}",1
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-75.56338434313712,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,9,-35.98319880888671,"{0: 9, 1: 4, 2: 3, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.96982852588756,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-184.66831583679843,"{0: 10, 1: 3, 2: 10, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-143.96298686849343,"{0: 12, 1: 2, 2: 9, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,10,-54.95942656000217,"{0: 9, 1: 4, 2: 1, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-207.544816465483,"{0: 9, 1: 3, 2: 2, 3: 3, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-122.9312330843651,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",35,0,-179.2330646447917,"{0: 24, 1: 2, 2: 5, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-46.14652608776581,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-149.94938252117723,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-120.15266206294179,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.70699180777528,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.83982539104198,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.71982228978526,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-169.00144854099116,"{0: 14, 1: 3, 2: 3, 3: 3, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-96.51181732780049,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-108.87978771754801,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-193.3438450587473,"{0: 11, 1: 4, 2: 7, 3: 0, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-168.75167586794927,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-252.17257641829758,"{0: 11, 1: 9, 2: 6, 3: 0, 4: 4}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-198.81497630608482,"{0: 15, 1: 0, 2: 5, 3: 2, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-205.8115692437645,"{0: 12, 1: 4, 2: 4, 3: 2, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-152.15542908164977,"{0: 16, 1: 3, 2: 9, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-164.06225101793513,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-186.68295348379607,"{0: 18, 1: 1, 2: 7, 3: 1, 4: 3}",0
